小区,区域,面积,价格,朝向,户型,详情链接
独栋·瑾家公寓 玖悦台1幢 【特价好房】单室厨卧分离明厨明卫拎包入住无中介 开间,,30.00㎡,1136元/月,1间在租,1室0厅1卫,https://sh.lianjia.com/apartment/74073.html
龙湖天曜星座,南审,47.00㎡,1400元/月,南,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1956004695822565376.html
独栋·紫金和寓 奥南四店 只有租金押金，无服务费，限时特惠 3室1厅,,75.00㎡,3860元/月,1间在租,3室1厅1卫,https://sh.lianjia.com/apartment/44303.html
新华公寓祥瑞苑,药科大学,68.50㎡,2600元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955097581415563264.html
独栋·紫金和寓 奥南四店 限时特惠/无服务费/纯租金 3室1厅,,85.00㎡,3950元/月,1间在租,3室1厅1卫,https://sh.lianjia.com/apartment/44303.html
独栋·柚米寓 南京金马路地铁站店 无服务费！可办房补！直租无中介费！2/4号线双地铁，大一居 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·柚米寓 南京金马路地铁站店 可办房补！社区官方直租！无中介费！整租，民用水电可月付 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·柚米寓 南京金马路地铁站店 品牌公寓直租无服务费民水民电，限量优惠，免费健身房！ 1室1厅,,28.00㎡,1400元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·理想家公寓 小行地铁站店 【企业特惠】近小行地铁口/无中介费/独卫拎包入住/全配高低床 开间,,30.00㎡,1900-2000元/月,3间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
独栋·理想家公寓 小行地铁站店 【长租特惠】近小行地铁口/无中介费/独卫拎包入住/精装大床 开间,,15间在租,1700-2000元/月,15间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
独栋·理想家公寓 小行地铁站店 【双床特惠】近小行地铁口/无中介费/独卫拎包入住/精装全配 开间,,8间在租,1600-1900元/月,8间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
托乐嘉单身公寓,将军大道,51.64㎡,2450元/月,北,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1956288950242902016.html
独栋·贝壳新青年公寓 浦口文化中心店 200平大公区 免费健身房 品质一室带阳台 上班族首选 1室1厅,,43.10㎡,2279元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/79332.html
枫霞雅苑,仙林湖,70.00㎡,1450元/月,南,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1956027932849733632.html
独栋·贝壳新青年公寓 浦口文化中心店 开业特惠 /精装全配/地铁600米/可短租可月付 开间,,34.50㎡,1888元/月,1间在租,1室0厅1卫,https://sh.lianjia.com/apartment/79332.html
水佐岗32巷,水佐岗,21.65㎡,1350元/月,南,1室0厅1卫,https://sh.lianjia.com/zufang/NJ1956284638926209024.html
独栋·瑞贝庭公寓 南京奥体博览中心瑞贝庭服务公寓 床品齐全！免费衣物护理！免费保洁！送早餐！全景落地窗！ 1室1厅,,70.00㎡,6150元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/81870.html
空港公寓B区,禄口,98.86㎡,1000元/月,南 北,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955836496757915648.html
独栋·瑾家 河西大街店 218 1室1厅,,23.00㎡,2900元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/49171.html
恒永西苑,岱山新城,68.63㎡,1900元/月,东南,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1935236425691693056.html
独栋·柚米寓 南京金马路地铁站店 无服务费！可办房补！直租无中介费！2/4号线双地铁，大一居 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
天目路,宁海路,48.00㎡,3300元/月,南 北,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1955186996599062528.html
独栋·柚米寓 南京金马路地铁站店 整租2房！无服务费！首月半价先到先得，近仙林，紫东，徐庄! 2室1厅,,45.00㎡,2188元/月,1间在租,2室1厅1卫,https://sh.lianjia.com/apartment/16342.html
华阳佳园华贵苑,凤凰西街,64.88㎡,3500元/月,南 北,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1955622197737291776.html
独栋·理想家公寓 小行地铁站店 【长租特惠】近小行地铁口/无中介费/独卫拎包入住/豪装大床 开间,,8间在租,1900-2250元/月,8间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
银通公寓,瑞金路,97.58㎡,3800元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955245723230404608.html
独栋·理想家公寓 小行地铁站店 【企业特惠】近小行地铁口/无中介费/独卫拎包入住/全配高低床 开间,,30.00㎡,1900-2000元/月,3间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
砂珠巷小区,升州路,46.60㎡,2900元/月,南,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1948215071251365888.html
独栋·瑾家公寓 玖悦台1幢 【限时优惠】精装朝南单室大阳台  采光好 无中介费 1室1厅,,30.00㎡,1255元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/74073.html
东渡新锐大厦,新城科技园,54.91㎡,3800元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955609872284254208.html
独栋·瑾家公寓 玖悦台1幢 【特价好房】单室厨卧分离明厨明卫拎包入住无中介 开间,,30.00㎡,1136元/月,1间在租,1室0厅1卫,https://sh.lianjia.com/apartment/74073.html
龙湖天曜星座,南审,47.00㎡,1400元/月,南,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1956004695822565376.html
独栋·紫金和寓 奥南四店 限时特惠/无服务费/纯租金 3室1厅,,85.00㎡,3950元/月,1间在租,3室1厅1卫,https://sh.lianjia.com/apartment/44303.html
新华公寓祥瑞苑,药科大学,68.50㎡,2600元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955097581415563264.html
独栋·紫金和寓 奥南四店 无中介费，无服务费，春租金押金 3室2厅,,95.00㎡,4300元/月,1间在租,3室2厅1卫,https://sh.lianjia.com/apartment/44303.html
独栋·柚米寓 南京金马路地铁站店 国庆到店享好礼，近紫东/仙林，无服务费物业费！整租一居 1室1厅,,28.00㎡,1400元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·柚米寓 南京金马路地铁站店 长租可享首月半价！停车方便！无服务费!民水民电可月付，整租 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·柚米寓 南京金马路地铁站店 无服务费物业费！停车方便！民用水电！押一付一！整租一居 1室1厅,,28.00㎡,1400元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·理想家公寓 小行地铁站店 近小行地铁口/无中介费/可短租/拎包入住全天候安防/豪装套房 1室1厅,,60.00㎡,3500元/月,2间在租,1室1厅1卫,https://sh.lianjia.com/apartment/10027.html
独栋·理想家公寓 小行地铁站店 【长租特惠】近小行地铁口/无中介费/独卫拎包入住/精装大床 开间,,15间在租,1700-2000元/月,15间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
独栋·理想家公寓 小行地铁站店 【双床特惠】近小行地铁口/无中介费/独卫拎包入住/精装全配 开间,,8间在租,1600-1900元/月,8间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
永嘉年华,龙江,60.65㎡,4000元/月,南 北,3室1厅2卫,https://sh.lianjia.com/zufang/NJ1956257641571287040.html
独栋·贝壳新青年公寓 浦口文化中心店 200平大公区 免费健身房 品质一室带阳台 上班族首选 1室1厅,,43.10㎡,2279元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/79332.html
枫霞雅苑,仙林湖,70.00㎡,1450元/月,南,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1956027932849733632.html
独栋·贝壳新青年公寓 浦口文化中心店 开业特惠 /精装全配/地铁600米/可短租可月付 开间,,34.50㎡,1888元/月,1间在租,1室0厅1卫,https://sh.lianjia.com/apartment/79332.html
托乐嘉单身公寓,将军大道,51.64㎡,2450元/月,北,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1956288950242902016.html
独栋·瑞贝庭公寓 南京奥体博览中心瑞贝庭服务公寓 床品齐全！免费衣物护理！免费保洁！送早餐！全景落地窗！ 1室1厅,,70.00㎡,6150元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/81870.html
空港公寓B区,禄口,98.86㎡,1000元/月,南 北,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955836496757915648.html
独栋·瑾家 河西大街店 218 1室1厅,,23.00㎡,2900元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/49171.html
恒永西苑,岱山新城,68.63㎡,1900元/月,东南,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1935236425691693056.html
独栋·柚米寓 南京金马路地铁站店 无服务费！可办房补！直租无中介费！2/4号线双地铁，大一居 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
天目路,宁海路,48.00㎡,3300元/月,南 北,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1955186996599062528.html
独栋·柚米寓 南京金马路地铁站店 整租2房！无服务费！首月半价先到先得，近仙林，紫东，徐庄! 2室1厅,,45.00㎡,2188元/月,1间在租,2室1厅1卫,https://sh.lianjia.com/apartment/16342.html
华阳佳园华贵苑,凤凰西街,64.88㎡,3500元/月,南 北,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1955622197737291776.html
独栋·理想家公寓 小行地铁站店 【长租特惠】近小行地铁口/无中介费/独卫拎包入住/豪装大床 开间,,8间在租,1900-2250元/月,8间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
银通公寓,瑞金路,97.58㎡,3800元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955245723230404608.html
独栋·理想家公寓 小行地铁站店 【企业特惠】近小行地铁口/无中介费/独卫拎包入住/全配高低床 开间,,30.00㎡,1900-2000元/月,3间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
砂珠巷小区,升州路,46.60㎡,2900元/月,南,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1948215071251365888.html
独栋·瑾家公寓 玖悦台1幢 【限时优惠】精装朝南单室大阳台  采光好 无中介费 1室1厅,,30.00㎡,1255元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/74073.html
东渡新锐大厦,新城科技园,54.91㎡,3800元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955609872284254208.html
独栋·瑾家公寓 玖悦台1幢 【特价好房】单室厨卧分离明厨明卫拎包入住无中介 开间,,30.00㎡,1136元/月,1间在租,1室0厅1卫,https://sh.lianjia.com/apartment/74073.html
龙湖天曜星座,南审,47.00㎡,1400元/月,南,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1956004695822565376.html
独栋·紫金和寓 奥南四店 限时特惠/无服务费/纯租金 3室1厅,,85.00㎡,3950元/月,1间在租,3室1厅1卫,https://sh.lianjia.com/apartment/44303.html
新华公寓祥瑞苑,药科大学,68.50㎡,2600元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955097581415563264.html
独栋·紫金和寓 奥南四店 无中介费，无服务费，春租金押金 3室2厅,,95.00㎡,4300元/月,1间在租,3室2厅1卫,https://sh.lianjia.com/apartment/44303.html
独栋·柚米寓 南京金马路地铁站店 国庆到店享好礼，近紫东/仙林，无服务费物业费！整租一居 1室1厅,,28.00㎡,1400元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·柚米寓 南京金马路地铁站店 长租可享首月半价！停车方便！无服务费!民水民电可月付，整租 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·柚米寓 南京金马路地铁站店 无服务费物业费！停车方便！民用水电！押一付一！整租一居 1室1厅,,28.00㎡,1400元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·理想家公寓 小行地铁站店 近小行地铁口/无中介费/可短租/拎包入住全天候安防/豪装套房 1室1厅,,60.00㎡,3500元/月,2间在租,1室1厅1卫,https://sh.lianjia.com/apartment/10027.html
独栋·理想家公寓 小行地铁站店 【长租特惠】近小行地铁口/无中介费/独卫拎包入住/精装大床 开间,,15间在租,1700-2000元/月,15间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
独栋·理想家公寓 小行地铁站店 【双床特惠】近小行地铁口/无中介费/独卫拎包入住/精装全配 开间,,8间在租,1600-1900元/月,8间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
永嘉年华,龙江,60.65㎡,4000元/月,南 北,3室1厅2卫,https://sh.lianjia.com/zufang/NJ1956257641571287040.html
独栋·贝壳新青年公寓 浦口文化中心店 200平大公区 免费健身房 品质一室带阳台 上班族首选 1室1厅,,43.10㎡,2279元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/79332.html
枫霞雅苑,仙林湖,70.00㎡,1450元/月,南,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1956027932849733632.html
独栋·贝壳新青年公寓 浦口文化中心店 开业特惠 /精装全配/地铁600米/可短租可月付 开间,,34.50㎡,1888元/月,1间在租,1室0厅1卫,https://sh.lianjia.com/apartment/79332.html
禹洲弘阳滨湖里,江宁滨江,89.81㎡,1200元/月,南,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1956264518468239360.html
独栋·瑞贝庭公寓 南京奥体博览中心瑞贝庭服务公寓 床品齐全！免费衣物护理！免费保洁！送早餐！全景落地窗！ 1室1厅,,70.00㎡,6150元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/81870.html
空港公寓B区,禄口,98.86㎡,1000元/月,南 北,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955836496757915648.html
独栋·瑾家 河西大街店 218 1室1厅,,23.00㎡,2900元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/49171.html
恒永西苑,岱山新城,68.63㎡,1900元/月,东南,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1935236425691693056.html
独栋·柚米寓 南京金马路地铁站店 长租限量首月半价，无服务费！民用水电可月付！整租独立卫浴 1室1厅,,28.00㎡,1400元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
天目路,宁海路,48.00㎡,3300元/月,南 北,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1955186996599062528.html
独栋·柚米寓 南京金马路地铁站店 班车直达地铁站，无服务费！近紫东国际创业园！押一付一可月付 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
华阳佳园华贵苑,凤凰西街,64.88㎡,3500元/月,南 北,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1955622197737291776.html
独栋·理想家公寓 小行地铁站店 近小行地铁口/无中介费/可短租/拎包入住全天候安防/豪装套房 1室1厅,,60.00㎡,3500元/月,2间在租,1室1厅1卫,https://sh.lianjia.com/apartment/10027.html
银通公寓,瑞金路,97.58㎡,3800元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955245723230404608.html
独栋·理想家公寓 小行地铁站店 【企业特惠】近小行地铁口/无中介费/独卫拎包入住/全配高低床 开间,,30.00㎡,1900-2000元/月,3间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
砂珠巷小区,升州路,46.60㎡,2900元/月,南,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1948215071251365888.html
独栋·瑾家公寓 玖悦台1幢 【限时优惠】精装朝南单室大阳台  采光好 无中介费 1室1厅,,30.00㎡,1255元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/74073.html
东渡新锐大厦,新城科技园,54.91㎡,3800元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955609872284254208.html
独栋·瑾家公寓 玖悦台1幢 【特价好房】单室厨卧分离明厨明卫拎包入住无中介 开间,,30.00㎡,1136元/月,1间在租,1室0厅1卫,https://sh.lianjia.com/apartment/74073.html
龙湖天曜星座,南审,47.00㎡,1400元/月,南,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1956004695822565376.html
独栋·紫金和寓 奥南四店 限时特惠/无服务费/纯租金 3室1厅,,85.00㎡,3950元/月,1间在租,3室1厅1卫,https://sh.lianjia.com/apartment/44303.html
新华公寓祥瑞苑,药科大学,68.50㎡,2600元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955097581415563264.html
独栋·紫金和寓 奥南四店 无中介费，无服务费，春租金押金 3室2厅,,95.00㎡,4300元/月,1间在租,3室2厅1卫,https://sh.lianjia.com/apartment/44303.html
独栋·柚米寓 南京金马路地铁站店 无服务费！可办房补！直租无中介费！2/4号线双地铁，大一居 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·柚米寓 南京金马路地铁站店 无服务费物业费！停车方便！民用水电！押一付一！整租一居 1室1厅,,28.00㎡,1400元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·柚米寓 南京金马路地铁站店 限量首月半价，无服务费！公寓直租无中介费！民水民电 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·理想家公寓 小行地铁站店 【长租特惠】近小行地铁口/无中介费/独卫拎包入住/豪装大床 开间,,8间在租,1900-2250元/月,8间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
独栋·理想家公寓 小行地铁站店 【长租特惠】近小行地铁口/无中介费/独卫拎包入住/精装大床 开间,,15间在租,1700-2000元/月,15间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
独栋·理想家公寓 小行地铁站店 【双床特惠】近小行地铁口/无中介费/独卫拎包入住/精装全配 开间,,8间在租,1600-1900元/月,8间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
永嘉年华,龙江,60.65㎡,4000元/月,南 北,3室1厅2卫,https://sh.lianjia.com/zufang/NJ1956257641571287040.html
独栋·贝壳新青年公寓 浦口文化中心店 200平大公区 免费健身房 品质一室带阳台 上班族首选 1室1厅,,43.10㎡,2279元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/79332.html
枫霞雅苑,仙林湖,70.00㎡,1450元/月,南,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1956027932849733632.html
独栋·贝壳新青年公寓 浦口文化中心店 开业特惠 /精装全配/地铁600米/可短租可月付 开间,,34.50㎡,1888元/月,1间在租,1室0厅1卫,https://sh.lianjia.com/apartment/79332.html
恒大滨江,建宁路,50.00㎡,2800元/月,北,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1956260940475269120.html
独栋·瑞贝庭公寓 南京奥体博览中心瑞贝庭服务公寓 床品齐全！免费衣物护理！免费保洁！送早餐！全景落地窗！ 1室1厅,,70.00㎡,6150元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/81870.html
空港公寓B区,禄口,98.86㎡,1000元/月,南 北,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955836496757915648.html
独栋·瑾家 河西大街店 218 1室1厅,,23.00㎡,2900元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/49171.html
恒永西苑,岱山新城,68.63㎡,1900元/月,东南,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1935236425691693056.html
独栋·柚米寓 南京金马路地铁站店 长租限量首月半价，无服务费！民用水电可月付！整租独立卫浴 1室1厅,,28.00㎡,1400元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
天目路,宁海路,48.00㎡,3300元/月,南 北,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1955186996599062528.html
独栋·柚米寓 南京金马路地铁站店 班车直达地铁站，无服务费！近紫东国际创业园！押一付一可月付 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
华阳佳园华贵苑,凤凰西街,64.88㎡,3500元/月,南 北,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1955622197737291776.html
独栋·理想家公寓 小行地铁站店 近小行地铁口/无中介费/可短租/拎包入住全天候安防/豪装套房 1室1厅,,60.00㎡,3500元/月,2间在租,1室1厅1卫,https://sh.lianjia.com/apartment/10027.html
银通公寓,瑞金路,97.58㎡,3800元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955245723230404608.html
独栋·理想家公寓 小行地铁站店 【长租特惠】近小行地铁口/无中介费/独卫拎包入住/豪装大床 开间,,8间在租,1900-2250元/月,8间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
砂珠巷小区,升州路,46.60㎡,2900元/月,南,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1948215071251365888.html
独栋·瑾家公寓 玖悦台1幢 【限时优惠】精装朝南单室大阳台  采光好 无中介费 1室1厅,,30.00㎡,1255元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/74073.html
东渡新锐大厦,新城科技园,54.91㎡,3800元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955609872284254208.html
独栋·瑾家公寓 玖悦台1幢 【特价好房】单室厨卧分离明厨明卫拎包入住无中介 开间,,30.00㎡,1136元/月,1间在租,1室0厅1卫,https://sh.lianjia.com/apartment/74073.html
龙湖天曜星座,南审,47.00㎡,1400元/月,南,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1956004695822565376.html
独栋·紫金和寓 奥南四店 只有租金押金，无服务费，限时特惠 3室1厅,,75.00㎡,3860元/月,1间在租,3室1厅1卫,https://sh.lianjia.com/apartment/44303.html
新华公寓祥瑞苑,药科大学,68.50㎡,2600元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955097581415563264.html
独栋·紫金和寓 奥南四店 限时特惠/无服务费/纯租金 3室1厅,,85.00㎡,3950元/月,1间在租,3室1厅1卫,https://sh.lianjia.com/apartment/44303.html
独栋·柚米寓 南京金马路地铁站店 无服务费！可办房补！直租无中介费！2/4号线双地铁，大一居 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·柚米寓 南京金马路地铁站店 可办房补！社区官方直租！无中介费！整租，民用水电可月付 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·柚米寓 南京金马路地铁站店 品牌公寓直租无服务费民水民电，限量优惠，免费健身房！ 1室1厅,,28.00㎡,1400元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
独栋·理想家公寓 小行地铁站店 【企业特惠】近小行地铁口/无中介费/独卫拎包入住/全配高低床 开间,,30.00㎡,1900-2000元/月,3间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
独栋·理想家公寓 小行地铁站店 【长租特惠】近小行地铁口/无中介费/独卫拎包入住/精装大床 开间,,15间在租,1700-2000元/月,15间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
独栋·理想家公寓 小行地铁站店 【双床特惠】近小行地铁口/无中介费/独卫拎包入住/精装全配 开间,,8间在租,1600-1900元/月,8间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
永嘉年华,龙江,60.65㎡,4000元/月,南 北,3室1厅2卫,https://sh.lianjia.com/zufang/NJ1956257641571287040.html
独栋·贝壳新青年公寓 浦口文化中心店 200平大公区 免费健身房 品质一室带阳台 上班族首选 1室1厅,,43.10㎡,2279元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/79332.html
枫霞雅苑,仙林湖,70.00㎡,1450元/月,南,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1956027932849733632.html
独栋·贝壳新青年公寓 浦口文化中心店 开业特惠 /精装全配/地铁600米/可短租可月付 开间,,34.50㎡,1888元/月,1间在租,1室0厅1卫,https://sh.lianjia.com/apartment/79332.html
禹洲弘阳滨湖里,江宁滨江,89.81㎡,1200元/月,南,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1956264518468239360.html
独栋·瑞贝庭公寓 南京奥体博览中心瑞贝庭服务公寓 床品齐全！免费衣物护理！免费保洁！送早餐！全景落地窗！ 1室1厅,,70.00㎡,6150元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/81870.html
空港公寓B区,禄口,98.86㎡,1000元/月,南 北,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955836496757915648.html
独栋·瑾家 河西大街店 218 1室1厅,,23.00㎡,2900元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/49171.html
恒永西苑,岱山新城,68.63㎡,1900元/月,东南,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1935236425691693056.html
独栋·柚米寓 南京金马路地铁站店 无服务费！可办房补！直租无中介费！2/4号线双地铁，大一居 1室1厅,,35.00㎡,1600元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
天目路,宁海路,48.00㎡,3300元/月,南 北,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1955186996599062528.html
独栋·柚米寓 南京金马路地铁站店 整租2房！无服务费！首月半价先到先得，近仙林，紫东，徐庄! 2室1厅,,45.00㎡,2188元/月,1间在租,2室1厅1卫,https://sh.lianjia.com/apartment/16342.html
华阳佳园华贵苑,凤凰西街,64.88㎡,3500元/月,南 北,2室1厅1卫,https://sh.lianjia.com/zufang/NJ1955622197737291776.html
独栋·理想家公寓 小行地铁站店 【长租特惠】近小行地铁口/无中介费/独卫拎包入住/豪装大床 开间,,8间在租,1900-2250元/月,8间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
银通公寓,瑞金路,97.58㎡,3800元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955245723230404608.html
独栋·理想家公寓 小行地铁站店 【企业特惠】近小行地铁口/无中介费/独卫拎包入住/全配高低床 开间,,30.00㎡,1900-2000元/月,3间在租,1室0厅1卫,https://sh.lianjia.com/apartment/10027.html
砂珠巷小区,升州路,46.60㎡,2900元/月,南,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1948215071251365888.html
独栋·瑾家公寓 玖悦台1幢 【限时优惠】精装朝南单室大阳台  采光好 无中介费 1室1厅,,30.00㎡,1255元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/74073.html
东渡新锐大厦,新城科技园,54.91㎡,3800元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955609872284254208.html
独栋·瑾家公寓 玖悦台1幢 【特价好房】单室厨卧分离明厨明卫拎包入住无中介 开间,,30.00㎡,1136元/月,1间在租,1室0厅1卫,https://sh.lianjia.com/apartment/74073.html
龙湖天曜星座,南审,47.00㎡,1400元/月,南,1室1厅1卫,https://sh.lianjia.com/zufang/NJ1956004695822565376.html
独栋·紫金和寓 奥南四店 限时特惠/无服务费/纯租金 3室1厅,,85.00㎡,3950元/月,1间在租,3室1厅1卫,https://sh.lianjia.com/apartment/44303.html
新华公寓祥瑞苑,药科大学,68.50㎡,2600元/月,南,2室2厅1卫,https://sh.lianjia.com/zufang/NJ1955097581415563264.html
独栋·紫金和寓 奥南四店 无中介费，无服务费，春租金押金 3室2厅,,95.00㎡,4300元/月,1间在租,3室2厅1卫,https://sh.lianjia.com/apartment/44303.html
独栋·柚米寓 南京金马路地铁站店 国庆到店享好礼，近紫东/仙林，无服务费物业费！整租一居 1室1厅,,28.00㎡,1400元/月,1间在租,1室1厅1卫,https://sh.lianjia.com/apartment/16342.html
